Bit;SMARTS
KR77;[!#1][CH]([CH2][CH2]S[CH3])C(=O)[OH]
KR78;[!#1][CH]([CH2][N+](=O)[O-])SC(=O)[CH3]
KR79;[!#1][CH]([CH2]C(=N[NH]C(=O)[!#1])[!#1])C(=O)[OH]
KR80;[!#1][CH]([CH2]C(=O)[!#1])C(=O)N([!#1])c1[cH][cH][cH][cH][cH]1
KR81;[!#1][CH]([CH2]C(=O)[!#1])C(=O)N([!#1])c1[cH][cH][cH]c([CH3])[cH]1
KR82;[!#1][CH]([CH2]C(=O)[!#1])C(=O)N([!#1])c1[cH][cH][cH]c(Br)[cH]1
KR83;[!#1][CH]([CH2]C(=O)[!#1])C(=O)N([!#1])c1[cH][cH][cH]c(Cl)[cH]1
KR84;[!#1][CH]([CH2]C(=O)[!#1])C(=O)N([!#1])c1[cH][cH]c([cH][cH]1)[N+](=O)[O-]
KR85;[!#1][CH]([CH2]C(=O)[!#1])C(=O)N([!#1])c1[cH][cH]c([cH][cH]1)C(=O)[OH]
KR86;[!#1][CH]([CH2]C(=O)[!#1])C(=O)N([!#1])c1[cH][cH]c(Br)[cH][cH]1
KR87;[!#1][CH]([CH2]C(=O)[!#1])C(=O)N([!#1])c1[cH][cH]c(Cl)[cH][cH]1
KR88;[!#1][CH]([CH2]C(=O)[NH2])C(=O)[OH]
KR89;[!#1][CH]([CH2]C(=O)[OH])[NH]C(=O)C(F)(F)F
KR90;[!#1][CH]([CH2]C(=O)[OH])C(=O)[OH]
KR91;[!#1][CH]([CH3])[CH2][CH3]
KR92;[!#1][CH]([CH3])[CH3]
KR93;[!#1][CH]([CH3])[NH]C(=O)[!#1]
KR94;[!#1][CH]([CH3])[NH]C(=O)[NH][CH2]C(=O)O[CH2][CH3]
KR95;[!#1][CH]([CH3])[NH]C(=S)[!#1]
KR96;[!#1][CH]([CH3])[NH]C(=S)[NH]C([!#1])([!#1])[!#1]
KR97;[!#1][CH]([CH3])[NH]S(=O)(=O)[!#1]
KR98;[!#1][CH]([CH3])C(=O)[!#1]
KR99;[!#1][CH]([CH3])C(=O)[OH]
KR100;[!#1][CH]([CH3])C(=O)O[CH2]C(=O)[!#1]
KR101;[!#1][CH]([CH3])c1[cH][cH][cH][cH][cH]1
KR102;[!#1][CH]([CH3])N([!#1])C(=O)[!#1]
KR103;[!#1][CH]([NH]C(=O)[!#1])[NH]C(=O)[!#1]
KR104;[!#1][CH]([NH]C(=O)[!#1])C(=O)[OH]
KR105;[!#1][CH]([NH]C(=O)[!#1])C(Br)(Br)Br
