Bit;SMARTS
KR1020;[!#1][NH]c1[cH][cH]c([cH][cH]1)[N+](=O)[O-]
KR1021;[!#1][NH]c1[cH][cH]c([cH][cH]1)C(=O)[!#1]
KR1022;[!#1][NH]c1[cH][cH]c([cH][cH]1)C(=O)[CH3]
KR1023;[!#1][NH]c1[cH][cH]c([cH][cH]1)C(=O)[OH]
KR1024;[!#1][NH]c1[cH][cH]c([cH][cH]1)S(=O)(=O)[!#1]
KR1025;[!#1][NH]c1[cH][cH]c([cH]c1[N+](=O)[O-])[N+](=O)[O-]
KR1026;[!#1][NH]c1[cH][cH]c([cH]c1[N+](=O)[O-])C(=O)[OH]
KR1027;[!#1][NH]c1[cH][cH]c([cH]c1C(=N[NH]C(=O)[CH2]O[!#1])C(=O)[!#1])[N+](=O)[O-]
KR1028;[!#1][NH]c1[cH][cH]c([CH2][CH2]c2[cH][cH][cH][cH]c2[!#1])c([NH][!#1])[cH]1
KR1029;[!#1][NH]c1[cH][cH]c([CH2]c2[cH][cH]c([NH][!#1])[cH][cH]2)[cH][cH]1
KR1030;[!#1][NH]c1[cH][cH]c([CH3])[cH][cH]1
KR1031;[!#1][NH]c1[cH][cH]c([CH3])[cH]c1[CH3]
KR1032;[!#1][NH]c1[cH][cH]c([CH3])[cH]c1[N+](=O)[O-]
KR1033;[!#1][NH]c1[cH][cH]c([CH3])c([cH]1)[N+](=O)[O-]
KR1034;[!#1][NH]c1[cH][cH]c([CH3])c([CH3])[cH]1
KR1035;[!#1][NH]c1[cH][cH]c([CH3])c([NH][!#1])[cH]1
KR1036;[!#1][NH]c1[cH][cH]c([N+](=O)[O-])c2nonc12
KR1037;[!#1][NH]c1[cH][cH]c([NH][!#1])[cH][cH]1
KR1038;[!#1][NH]c1[cH][cH]c([OH])[cH][cH]1
KR1039;[!#1][NH]c1[cH][cH]c(Br)[cH][cH]1
KR1040;[!#1][NH]c1[cH][cH]c(Br)[cH]c1C(=O)[!#1]
KR1041;[!#1][NH]c1[cH][cH]c(Br)[cH]n1
KR1042;[!#1][NH]c1[cH][cH]c(Cl)[cH][cH]1
KR1043;[!#1][NH]c1[cH][cH]c(Cl)[cH]c1[N+](=O)[O-]
KR1044;[!#1][NH]c1[cH][cH]c(Cl)[cH]c1C(=O)[!#1]
KR1045;[!#1][NH]c1[cH][cH]c(Cl)[cH]c1Cl
KR1046;[!#1][NH]c1[cH][cH]c(Cl)[cH]n1
KR1047;[!#1][NH]c1[cH][cH]c(Cl)c([cH]1)[N+](=O)[O-]
KR1048;[!#1][NH]c1[cH][cH]c(Cl)c(Cl)[cH]1
KR1049;[!#1][NH]c1[cH][cH]c(F)[cH][cH]1
KR1050;[!#1][NH]c1[cH][cH]c(F)c(Cl)[cH]1
KR1051;[!#1][NH]c1[cH][cH]c(I)[cH][cH]1
KR1052;[!#1][NH]c1[cH][cH]c(N([!#1])[CH2][CH3])c2c([cH][cH][cH]c12)C(=O)[!#1]
KR1053;[!#1][NH]c1[cH][cH]c(N=Nc2[cH][cH][cH][cH][cH]2)[cH][cH]1
KR1054;[!#1][NH]c1[cH][cH]c(N=Nc2[cH][cH][cH][cH]c2[CH3])[cH]c1[CH3]
KR1055;[!#1][NH]c1[cH][cH]c(O[!#1])[cH][cH]1
KR1056;[!#1][NH]c1[cH][cH]c(O[!#1])[cH]c1[N+](=O)[O-]
KR1057;[!#1][NH]c1[cH][cH]c(O[CH3])nn1
KR1058;[!#1][NH]c1[cH][cH]c2[cH][cH][cH][cH]c2[cH]1
KR1059;[!#1][NH]c1[cH][cH]c2[cH][cH][cH]c([OH])c2n1
KR1060;[!#1][NH]c1[cH][cH]c2[CH2][CH2]c3[cH][cH][cH][cH]c3N([!#1])c2[cH]1
KR1061;[!#1][NH]c1[cH][cH]c2c([cH]1)oc3[cH][cH][cH][cH]c32
KR1062;[!#1][NH]c1[cH][cH]c2nc([!#1])[nH]c2[cH]1
KR1063;[!#1][NH]c1[cH][cH]c2nonc2c1[N+](=O)[O-]
KR1064;[!#1][NH]c1[cH][cH]c2O[CH2]Oc2[cH]1
KR1065;[!#1][NH]c1[cH][cH]c2oc([!#1])nc2[cH]1
KR1066;[!#1][NH]c1[cH][cH]n[cH][cH]1
KR1067;[!#1][NH]c1[cH][cH]nc2[cH]c3[cH][cH][cH][cH]c3[cH]c12
KR1068;[!#1][NH]c1[cH]c([!#1])nc2[cH][cH][cH][cH]c12
KR1069;[!#1][NH]c1[cH]c([cH][cH]c1[CH3])[N+](=O)[O-]
KR1070;[!#1][NH]c1[cH]c([cH][cH]c1C(=O)[OH])[N+](=O)[O-]
KR1071;[!#1][NH]c1[cH]c([cH][cH]c1Cl)C(F)(F)F
KR1072;[!#1][NH]c1[cH]c([cH]c([cH]1)[N+](=O)[O-])C(=O)[OH]
KR1073;[!#1][NH]c1[cH]c([cH]c([cH]1)C(=O)[OH])C(=O)[OH]
KR1074;[!#1][NH]c1[cH]c([CH3])[cH][cH]c1[CH3]
KR1075;[!#1][NH]c1[cH]c([CH3])[cH][cH]n1
KR1076;[!#1][NH]c1[cH]c([CH3])[cH]c([CH3])[cH]1
KR1077;[!#1][NH]c1[cH]c([CH3])nc2[cH][cH][cH][cH]c12
KR1078;[!#1][NH]c1[cH]c(Cl)[cH][cH]c1Cl
KR1079;[!#1][NH]c1[cH]c(Cl)[cH][cH]c1O[!#1]
KR1080;[!#1][NH]c1[cH]c(O[!#1])c(O[!#1])[cH]c1C(=O)[!#1]
KR1081;[!#1][NH]c1[cH]c(O[CH3])nc(O[CH3])n1
KR1082;[!#1][NH]c1[cH]nc2[cH][cH][cH][cH]c2[cH]1
KR1083;[!#1][NH]c1[nH]nc([CH3])c1[N+](=O)[O-]
KR1084;[!#1][NH]C1=[CH]C(=O)c2[cH][cH][cH][cH]c2C1=O
KR1085;[!#1][NH]c1c([cH][cH]c2nonc12)[N+](=O)[O-]
KR1086;[!#1][NH]c1c([cH]c([cH]c1[N+](=O)[O-])[N+](=O)[O-])C(=O)[OH]
KR1087;[!#1][NH]c1c([cH]c([cH]c1[N+](=O)[O-])C(=O)[OH])[N+](=O)[O-]
KR1088;[!#1][NH]c1c([cH]c([N+](=O)[O-])c2[cH][cH][cH][cH]c12)[N+](=O)[O-]
KR1089;[!#1][NH]c1c([CH3])[cH][cH][cH]c1[CH3]
KR1090;[!#1][NH]c1c([CH3])[cH]c([CH3])[cH]c1[CH3]
KR1091;[!#1][NH]c1c([CH3])c([CH2][CH3])nc2[cH][cH][cH][cH]c12
KR1092;[!#1][NH]c1c([CH3])n([!#1])n([!#1])c1=O
KR1093;[!#1][NH]c1c([N+](=O)[O-])c(=O)oc2[cH][cH][cH][cH]c12
KR1094;[!#1][NH]c1c2[cH][cH][cH][cH]c2nc3[cH][cH][cH][cH]c13
KR1095;[!#1][NH]c1c2[CH2][CH2][CH2]c2nc3[cH][cH][cH][cH]c13
KR1096;[!#1][NH]c1c2[CH2][CH2][CH2]c2nc3[CH2][CH2][CH2][CH2]c13
KR1097;[!#1][NH]c1n[cH][cH][cH]n1
KR1098;[!#1][NH]c1n[cH][cH]nc1O[CH3]
KR1099;[!#1][NH]c1n[cH][cH]s1
KR1100;[!#1][NH]c1n[cH][nH]n1
KR1101;[!#1][NH]c1n[cH]nc2n([!#1])[cH]nc12
KR1102;[!#1][NH]c1n[cH]nc2sc3[CH2][CH2][CH2][CH2]c3c12
KR1103;[!#1][NH]c1n[nH]c(=O)[nH]c1=O
KR1104;[!#1][NH]c1nc([!#1])[cH]s1
KR1105;[!#1][NH]c1nc([!#1])nc([!#1])n1
KR1106;[!#1][NH]c1nc([!#1])nc(Cl)n1
KR1107;[!#1][NH]c1nc([!#1])nc(n1)N2[CH2][CH2]O[CH2][CH2]2
KR1108;[!#1][NH]c1nc([!#1])nc(O[CH](C(F)(F)F)C(F)(F)F)n1
KR1109;[!#1][NH]c1nc([cH]s1)c2[cH][cH][cH][cH][cH]2
KR1110;[!#1][NH]c1nc([cH]s1)c2[cH][cH]c([!#1])[cH][cH]2
KR1111;[!#1][NH]c1nc([CH3])[cH]c([CH3])n1
KR1112;[!#1][NH]c1nc(Cl)nc(Cl)n1
KR1113;[!#1][NH]c1nc(O[CH](C(F)(F)F)C(F)(F)F)nc(O[CH](C(F)(F)F)C(F)(F)F)n1
KR1114;[!#1][NH]c1nc2[cH][cH][cH][cH]c2n1[!#1]
KR1115;[!#1][NH]c1nc2[cH][cH][cH][cH]c2nc1[!#1]
KR1116;[!#1][NH]c1nc2[cH][cH][cH][cH]c2nc1[NH][!#1]
KR1117;[!#1][NH]c1nc2[cH][cH][cH][cH]c2s1
KR1118;[!#1][NH]c1nc2[CH2][CH2][CH2][CH2]c2s1
KR1119;[!#1][NH]c1nc2nonc2nc1[!#1]
KR1120;[!#1][NH]c1nnc([CH2][CH3])s1
KR1121;[!#1][NH]c1nnc([CH3])s1
KR1122;[!#1][NH]c1sc([CH3])c([CH3])c1C(=O)[!#1]
KR1123;[!#1][NH]c1sc2[CH2][CH2][CH2][CH2]c2c1C(=O)[!#1]
KR1124;[!#1][NH]N([!#1])[!#1]
KR1125;[!#1][NH]N=[CH][!#1]
KR1126;[!#1][NH]N=C([!#1])[!#1]
KR1127;[!#1][NH]N=C([!#1])[CH3]
KR1128;[!#1][NH]N=C([!#1])N=N[!#1]
KR1129;[!#1][NH]N=C1C(=N[NH]C1=O)[!#1]
KR1130;[!#1][NH]N=C1C(=NN(C1=O)c2[cH][cH][cH][cH][cH]2)[!#1]
KR1131;[!#1][NH]N=C1C(=NN(C1=O)c2nc([cH]s2)c3[cH][cH][cH][cH][cH]3)[!#1]
KR1132;[!#1][NH]N=C1C(=O)[NH]C(=O)[NH]C1=O
KR1133;[!#1][NH]N=C1C(=O)[NH]C(=S)[NH]C1=O
KR1134;[!#1][NH]N=N[!#1]
KR1135;[!#1][NH]n1[cH]nn[cH]1
KR1136;[!#1][NH]P(=O)(O[CH]([CH3])[CH3])O[CH]([CH3])[CH3]
KR1137;[!#1][NH]P(=O)(O[CH2][CH]([CH3])[CH3])O[CH2][CH]([CH3])[CH3]
KR1138;[!#1][NH]P(=O)(O[CH2][CH3])O[CH2][CH3]
KR1139;[!#1][NH]S(=O)(=O)[!#1]
KR1140;[!#1][NH]S(=O)(=O)[CH2][CH]=[CH2]
KR1141;[!#1][NH]S(=O)(=O)[CH3]
KR1142;[!#1][NH]S(=O)(=O)[NH]C([CH3])([CH3])[CH3]
KR1143;[!#1][NH]S(=O)(=O)[NH]C(=O)N([!#1])[CH3]
KR1144;[!#1][NH]S(=O)[!#1]
KR1145;[!#1][NH]S[!#1]
KR1146;[!#1][NH2]
KR1147;[!#1][O-]
KR1148;[!#1][OH]
KR1149;[!#1][SH]
KR1150;[!#1]Br
KR1151;[!#1]C#C[!#1]
KR1152;[!#1]C#CC([CH3])([CH3])[OH]
KR1153;[!#1]C#N
KR1154;[!#1]C([!#1])([!#1])[!#1]
KR1155;[!#1]C([!#1])([!#1])[CH2][CH3]
KR1156;[!#1]C([!#1])([!#1])[CH3]
KR1157;[!#1]C([!#1])([!#1])[OH]
KR1158;[!#1]C([!#1])([!#1])c1[cH][cH][cH][cH][cH]1
KR1159;[!#1]C([!#1])([CH3])[CH2][CH3]
KR1160;[!#1]C([!#1])([CH3])[CH3]
KR1161;[!#1]C([!#1])([CH3])[OH]
KR1162;[!#1]C([!#1])([OH])c1[cH][cH][cH][cH][cH]1
KR1163;[!#1]C([!#1])(C#N)C#N
KR1164;[!#1]C([!#1])(Cl)C([!#1])([!#1])[N+](=O)[O-]
KR1165;[!#1]C([!#1])(Cl)Cl
KR1166;[!#1]C([CH3])([CH3])[CH2][CH]([CH3])[OH]
KR1167;[!#1]C([CH3])([CH3])[CH2][CH]([CH3])OC(=O)C([CH3])([CH3])[CH3]
KR1168;[!#1]C([CH3])([CH3])[CH2][CH]=C([CH3])[CH2][CH2][CH]=C([CH3])[CH3]
KR1169;[!#1]C([CH3])([CH3])[CH2][CH3]
KR1170;[!#1]C([CH3])([CH3])[CH2][OH]
KR1171;[!#1]C([CH3])([CH3])[CH2]C([CH3])([CH3])[CH3]
KR1172;[!#1]C([CH3])([CH3])[CH2]N([CH3])[CH3]
KR1173;[!#1]C([CH3])([CH3])[CH3]
KR1174;[!#1]C([OH])([CH2][CH]=[CH2])[CH2][CH]=[CH2]
KR1175;[!#1]C([OH])(C(=O)O[CH2][CH3])C(F)(F)F
KR1176;[!#1]C([OH])(C(=O)O[CH3])C(F)(F)F
KR1177;[!#1]C([OH])(C(F)(F)F)C(F)(F)F
KR1178;[!#1]C(=[CH]C(=O)[CH3])[CH3]
KR1179;[!#1]C(=[CH]C(=O)O[CH2][CH3])[CH3]
KR1180;[!#1]C(=N[NH]C(=O)[!#1])[!#1]
KR1181;[!#1]C(=N[NH]C(=O)[!#1])[CH3]
KR1182;[!#1]C(=N[NH]C(=O)[NH2])[CH3]
KR1183;[!#1]C(=N[NH]S(=O)(=O)[!#1])[CH3]
KR1184;[!#1]C(=N[OH])[!#1]
KR1185;[!#1]C(=N[OH])[CH2][CH]([CH3])[CH3]
KR1186;[!#1]C(=N[OH])[CH2][CH3]
KR1187;[!#1]C(=N[OH])[CH3]
KR1188;[!#1]C(=N[OH])N([CH2][CH3])[CH2][CH3]
KR1189;[!#1]C(=NN=C([!#1])[CH3])[CH3]
KR1190;[!#1]C(=NO[CH2][CH3])[CH2][CH2][CH3]
KR1191;[!#1]C(=NO[CH2]ON=C([!#1])[CH3])[CH3]
KR1192;[!#1]C(=NOC(=O)[!#1])[CH3]
KR1193;[!#1]C(=O)[!#1]
KR1194;[!#1]C(=O)[CH]([CH]1[CH2][CH2][CH2][CH2][CH2]1)C(=O)[!#1]
KR1195;[!#1]C(=O)[CH]([CH3])[CH3]
KR1196;[!#1]C(=O)[CH]([CH3])c1[cH][cH]c([CH2][CH]([CH3])[CH3])[cH][cH]1
KR1197;[!#1]C(=O)[CH]([CH3])N([CH3])[CH3]
KR1198;[!#1]C(=O)[CH](c1[cH][cH][cH][cH][cH]1)c2[cH][cH][cH][cH][cH]2
KR1199;[!#1]C(=O)[CH](F)F
KR1200;[!#1]C(=O)[CH]1[CH]([CH]2c3[cH][cH][cH][cH]c3[CH]1c4[cH][cH][cH][cH]c24)C(=O)[OH]
KR1201;[!#1]C(=O)[CH]1[CH]2[CH2][CH2][CH2][CH2][CH]12
KR1202;[!#1]C(=O)[CH]1[CH2][CH]1c2[cH][cH][cH][cH][cH]2
KR1203;[!#1]C(=O)[CH]1[CH2][CH2][CH2][CH2][CH2]1
KR1204;[!#1]C(=O)[CH]1[CH2][CH2]1
KR1205;[!#1]C(=O)[CH]1[CH2][CH2]C([CH3])(C(=O)[OH])C1([CH3])[CH3]
KR1206;[!#1]C(=O)[CH]1[CH2]C1([CH3])[CH3]
KR1207;[!#1]C(=O)[CH]1[CH2]C1(c2[cH][cH][cH][cH][cH]2)c3[cH][cH][cH][cH][cH]3
KR1208;[!#1]C(=O)[CH]1[CH2]C1(c2[cH][cH]c([CH3])[cH][cH]2)c3[cH][cH]c([CH3])[cH][cH]3
KR1209;[!#1]C(=O)[CH]1[CH2]C21[CH2][CH2][CH2]2
KR1210;[!#1]C(=O)[CH]1C(=O)C([!#1])([!#1])C(=O)[CH2]C1([CH3])[CH3]
KR1211;[!#1]C(=O)[CH2][CH]([CH3])[CH2]C(=O)[!#1]
KR1212;[!#1]C(=O)[CH2][CH]([CH3])[CH3]
KR1213;[!#1]C(=O)[CH2][CH]([NH2])C(Cl)(Cl)Cl
KR1214;[!#1]C(=O)[CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2]C(=O)[!#1]
KR1215;[!#1]C(=O)[CH2][CH2][CH2][CH2][CH2][CH2][CH3]
KR1216;[!#1]C(=O)[CH2][CH2][CH2][CH2][CH2][CH2]C(=O)[!#1]
KR1217;[!#1]C(=O)[CH2][CH2][CH2][CH2][CH2][CH3]
KR1218;[!#1]C(=O)[CH2][CH2][CH2][CH2][CH3]
KR1219;[!#1]C(=O)[CH2][CH2][CH2][CH2]C(=O)[!#1]
KR1220;[!#1]C(=O)[CH2][CH2][CH2][CH2]C(=O)[OH]
KR1221;[!#1]C(=O)[CH2][CH2][CH2][CH3]
KR1222;[!#1]C(=O)[CH2][CH2][CH2]C(=O)[!#1]
KR1223;[!#1]C(=O)[CH2][CH2][CH2]C(=O)[OH]
KR1224;[!#1]C(=O)[CH2][CH2][CH2]c1[cH][cH][cH][cH][cH]1
KR1225;[!#1]C(=O)[CH2][CH2][CH3]
KR1226;[!#1]C(=O)[CH2][CH2]Br
KR1227;[!#1]C(=O)[CH2][CH2]C([CH3])([CH3])C(=O)[!#1]
KR1228;[!#1]C(=O)[CH2][CH2]C(=O)[!#1]
KR1229;[!#1]C(=O)[CH2][CH2]C(=O)[OH]
KR1230;[!#1]C(=O)[CH2][CH2]C(=O)O[CH2]C(=O)[!#1]
KR1231;[!#1]C(=O)[CH2][CH2]C(=O)O[CH3]
KR1232;[!#1]C(=O)[CH2][CH2]c1[cH][cH][cH][cH][cH]1
KR1233;[!#1]C(=O)[CH2][CH2]c1[cH][cH]c([CH3])o1
KR1234;[!#1]C(=O)[CH2][CH2]N([CH2][CH3])[CH2][CH3]
KR1235;[!#1]C(=O)[CH2][CH2]N([CH3])[CH3]
KR1236;[!#1]C(=O)[CH2][CH3]
KR1237;[!#1]C(=O)[CH2][NH][CH2][CH2][OH]
KR1238;[!#1]C(=O)[CH2][NH][CH2][CH3]
KR1239;[!#1]C(=O)[CH2][NH]C([CH3])([CH3])[CH3]
KR1240;[!#1]C(=O)[CH2][NH]C(=O)[!#1]
KR1241;[!#1]C(=O)[CH2][NH2]
KR1242;[!#1]C(=O)[CH2]C([!#1])([OH])C(F)(F)[CH](F)F
KR1243;[!#1]C(=O)[CH2]C([!#1])([OH])C(F)(F)F
KR1244;[!#1]C(=O)[CH2]C(=N[NH]c1[cH][cH][cH][cH][cH]1)[CH3]
KR1245;[!#1]C(=O)[CH2]C(=O)[!#1]
KR1246;[!#1]C(=O)[CH2]C(=O)[CH3]
KR1247;[!#1]C(=O)[CH2]C(=O)O[CH2][CH3]
KR1248;[!#1]C(=O)[CH2]C1([CH2][CH]2[CH2][CH]3[CH2][CH]([CH2]2)[CH2]1)[CH2]3
KR1249;[!#1]C(=O)[CH2]C1(C(=O)c2[cH][cH][cH][cH]c2C1=O)c3[cH][cH][cH][cH][cH]3
KR1250;[!#1]C(=O)[CH2]c1[cH][cH][cH][cH][cH]1
KR1251;[!#1]C(=O)[CH2]c1[cH][cH][cH]c2[cH][cH][cH][cH]c12
KR1252;[!#1]C(=O)[CH2]Cl
KR1253;[!#1]C(=O)[CH2]F
KR1254;[!#1]C(=O)[CH2]N([CH2][CH3])[CH2][CH3]
KR1255;[!#1]C(=O)[CH2]N([CH3])[CH3]
KR1256;[!#1]C(=O)[CH2]OC(=O)[!#1]
KR1257;[!#1]C(=O)[CH2]OC(=O)[CH2][CH2][CH2][CH3]
KR1258;[!#1]C(=O)[CH2]OC(=O)[CH2][CH2]C(=O)C(=O)O[CH2]C(=O)[!#1]
KR1259;[!#1]C(=O)[CH2]OC(=O)[CH2][CH2]S(=O)(=O)[!#1]
KR1260;[!#1]C(=O)[CH2]OC(=O)C(=O)O[CH2]C(=O)[!#1]
KR1261;[!#1]C(=O)[CH2]SC(=S)[!#1]
KR1262;[!#1]C(=O)[CH2]SS(=O)(=O)[OH]
KR1263;[!#1]C(=O)[CH3]
KR1264;[!#1]C(=O)[NH][CH]([CH]([CH3])[CH3])C(=O)[OH]
KR1265;[!#1]C(=O)[NH][CH]([CH2][CH]([CH3])[CH3])C(=O)[OH]
KR1266;[!#1]C(=O)[NH][CH]([CH2][CH]([CH3])[CH3])C(=O)O[CH3]
KR1267;[!#1]C(=O)[NH][CH]([CH2][CH2][CH2][NH]C(=[NH])[NH2])C(=O)[NH2]
KR1268;[!#1]C(=O)[NH][CH]([CH2][OH])[CH]([CH3])[CH3]
KR1269;[!#1]C(=O)[NH][CH]([CH2]C(=O)O[CH3])C(=O)O[CH3]
KR1270;[!#1]C(=O)[NH][CH]([CH3])[CH2][CH2][CH2][CH2][CH3]
KR1271;[!#1]C(=O)[NH][CH]([CH3])[CH2][CH3]
KR1272;[!#1]C(=O)[NH][CH]([CH3])[CH3]
KR1273;[!#1]C(=O)[NH][CH]([CH3])C(=O)[OH]
KR1274;[!#1]C(=O)[NH][CH]([NH]C([CH3])([CH3])[CH3])C(Cl)(Cl)Cl
KR1275;[!#1]C(=O)[NH][CH](N([CH2][CH3])[CH2][CH3])C(Cl)(Cl)Cl
KR1276;[!#1]C(=O)[NH][CH2][CH]([CH3])[CH3]
KR1277;[!#1]C(=O)[NH][CH2][CH]=[CH2]
KR1278;[!#1]C(=O)[NH][CH2][CH2][CH2][CH2][CH2][CH2][NH]C(=O)[!#1]
KR1279;[!#1]C(=O)[NH][CH2][CH2][CH2][CH2][CH2][CH3]
KR1280;[!#1]C(=O)[NH][CH2][CH2][CH2][CH2][CH2]C(=O)[OH]
KR1281;[!#1]C(=O)[NH][CH2][CH2][CH2][CH2][CH3]
KR1282;[!#1]C(=O)[NH][CH2][CH2][CH2][CH2][NH]C(=O)[!#1]
KR1283;[!#1]C(=O)[NH][CH2][CH2][CH2][CH3]
KR1284;[!#1]C(=O)[NH][CH2][CH2][CH2][OH]
KR1285;[!#1]C(=O)[NH][CH2][CH2][CH2]C(=O)[OH]
KR1286;[!#1]C(=O)[NH][CH2][CH2][CH2]N([CH3])[CH3]
KR1287;[!#1]C(=O)[NH][CH2][CH2][CH3]
KR1288;[!#1]C(=O)[NH][CH2][CH2][NH]C(=O)[!#1]
KR1289;[!#1]C(=O)[NH][CH2][CH2][OH]
KR1290;[!#1]C(=O)[NH][CH2][CH2]C(=O)[OH]
KR1291;[!#1]C(=O)[NH][CH2][CH2]N([CH2][CH3])[CH2][CH3]
KR1292;[!#1]C(=O)[NH][CH2][CH2]OC(=O)[!#1]
KR1293;[!#1]C(=O)[NH][CH2][CH2]OC(=O)[CH3]
KR1294;[!#1]C(=O)[NH][CH2][CH3]
KR1295;[!#1]C(=O)[NH][CH2]C(=O)[OH]
KR1296;[!#1]C(=O)[NH][CH2]C(=O)O[CH2][CH3]
KR1297;[!#1]C(=O)[NH][CH2]C(=O)O[CH3]
KR1298;[!#1]C(=O)[NH][CH2]OC(=O)[!#1]
KR1299;[!#1]C(=O)[NH][CH3]
KR1300;[!#1]C(=O)[NH][NH]C(=O)[!#1]
KR1301;[!#1]C(=O)[NH][NH]C(=O)[CH]=[CH]C(=O)[OH]
KR1302;[!#1]C(=O)[NH][NH]C(=O)[CH2][CH2][CH2][CH2][CH2][CH2][CH3]
KR1303;[!#1]C(=O)[NH][NH]C(=O)[CH2][CH2]C(=O)[OH]
KR1304;[!#1]C(=O)[NH][NH]C(=O)[CH3]
KR1305;[!#1]C(=O)[NH][NH]C(=O)C(F)(F)F
KR1306;[!#1]C(=O)[NH][NH]C(=S)[NH]C(=O)[!#1]
KR1307;[!#1]C(=O)[NH][NH]C(=S)[NH2]
KR1308;[!#1]C(=O)[NH][NH]S(=O)(=O)[!#1]
KR1309;[!#1]C(=O)[NH][NH2]
KR1310;[!#1]C(=O)[NH][OH]
KR1311;[!#1]C(=O)[NH]C([!#1])([!#1])[CH3]
KR1312;[!#1]C(=O)[NH]C([CH2][OH])([CH2][OH])[CH2][OH]
KR1313;[!#1]C(=O)[NH]C([CH3])([CH3])[CH3]
KR1314;[!#1]C(=O)[NH]C(=S)[!#1]
KR1315;[!#1]C(=O)[NH]c1[cH][cH][cH][cH][cH]1
KR1316;[!#1]C(=O)[NH]c1[cH][cH][cH]c(Cl)[cH]1
KR1317;[!#1]C(=O)[NH]c1[cH][cH][cH]c2[cH][cH][cH][cH]c12
KR1318;[!#1]C(=O)[NH]c1[cH][cH]c([cH][cH]1)S(=O)(=O)[!#1]
KR1319;[!#1]C(=O)[NH]c1[cH][cH]c(Cl)[cH][cH]1
KR1320;[!#1]C(=O)[NH]c1[cH][cH]c(Cl)c(Cl)[cH]1
KR1321;[!#1]C(=O)[NH]c1nc([CH3])[cH]c([CH3])n1
KR1322;[!#1]C(=O)[NH]c1nc([CH3])nc(O[CH3])n1
KR1323;[!#1]C(=O)[NH]N=[CH][CH]=[CH]c1[cH][cH][cH][cH][cH]1
KR1324;[!#1]C(=O)[NH]N=[CH][CH]=N[NH]C(=O)[!#1]
KR1325;[!#1]C(=O)[NH]N=[CH][CH2][CH2][CH3]
KR1326;[!#1]C(=O)[NH]N=[CH]c1[cH][cH][cH][cH][cH]1
KR1327;[!#1]C(=O)[NH]N=[CH]c1[cH][cH][cH][cH]c1[N+](=O)[O-]
KR1328;[!#1]C(=O)[NH]N=[CH]c1[cH][cH][cH][cH]c1[OH]
KR1329;[!#1]C(=O)[NH]N=[CH]c1[cH][cH][cH][cH]c1Cl
KR1330;[!#1]C(=O)[NH]N=[CH]c1[cH][cH][cH][cH]c1F
KR1331;[!#1]C(=O)[NH]N=[CH]c1[cH][cH][cH][cH]c1O[CH3]
KR1332;[!#1]C(=O)[NH]N=[CH]c1[cH][cH][cH][nH]1
KR1333;[!#1]C(=O)[NH]N=[CH]c1[cH][cH][cH]c([cH]1)[N+](=O)[O-]
KR1334;[!#1]C(=O)[NH]N=[CH]c1[cH][cH][cH]c([CH2][CH]=[CH2])c1[OH]
KR1335;[!#1]C(=O)[NH]N=[CH]c1[cH][cH][cH]n[cH]1
KR1336;[!#1]C(=O)[NH]N=[CH]c1[cH][cH][cH]o1
KR1337;[!#1]C(=O)[NH]N=[CH]c1[cH][cH][cH]s1
KR1338;[!#1]C(=O)[NH]N=[CH]c1[cH][cH]c([!#1])[cH][cH]1
KR1339;[!#1]C(=O)[NH]N=[CH]c1[cH][cH]c([!#1])[cH]c1[OH]
KR1340;[!#1]C(=O)[NH]N=[CH]c1[cH][cH]c([cH][cH]1)[N+](=O)[O-]
KR1341;[!#1]C(=O)[NH]N=[CH]c1[cH][cH]c([cH][cH]1)c2[cH][cH][cH][cH][cH]2
KR1342;[!#1]C(=O)[NH]N=[CH]c1[cH][cH]c([cH][cH]1)N([CH3])[CH3]
KR1343;[!#1]C(=O)[NH]N=[CH]c1[cH][cH]c([CH3])o1
KR1344;[!#1]C(=O)[NH]N=[CH]c1[cH][cH]c([OH])[cH][cH]1
KR1345;[!#1]C(=O)[NH]N=[CH]c1[cH][cH]c([OH])c(O[CH3])[cH]1
KR1346;[!#1]C(=O)[NH]N=[CH]c1[cH][cH]c(Br)[cH][cH]1
KR1347;[!#1]C(=O)[NH]N=[CH]c1[cH][cH]c(Cl)[cH][cH]1
KR1348;[!#1]C(=O)[NH]N=[CH]c1[cH][cH]c(Cl)[cH]c1Cl
KR1349;[!#1]C(=O)[NH]N=[CH]c1[cH][cH]c(F)[cH][cH]1
KR1350;[!#1]C(=O)[NH]N=[CH]c1[cH][cH]c(O[CH3])[cH][cH]1
KR1351;[!#1]C(=O)[NH]N=[CH]c1[cH][cH]c(O[CH3])[cH]c1O[CH3]
KR1352;[!#1]C(=O)[NH]N=[CH]c1[cH][cH]c(O[CH3])c(O[CH3])[cH]1
KR1353;[!#1]C(=O)[NH]N=[CH]c1[cH][cH]c(o1)[N+](=O)[O-]
KR1354;[!#1]C(=O)[NH]N=[CH]c1[cH][cH]c(s1)[N+](=O)[O-]
KR1355;[!#1]C(=O)[NH]N=[CH]c1[cH][cH]c2n([CH2][CH3])c3[cH][cH][cH][cH]c3c2[cH]1
KR1356;[!#1]C(=O)[NH]N=[CH]c1[cH][cH]c2O[CH2]Oc2[cH]1
KR1357;[!#1]C(=O)[NH]N=[CH]c1[cH][cH]n[cH][cH]1
